datetime,open,high,low,close,volume
2025-04-29 12:43:00,210.49,210.49,210.44,210.44,814.0
2025-04-29 12:45:00,210.3878,210.55,210.3878,210.55,6626.0
2025-04-29 12:46:00,210.384,210.3998,210.384,210.3998,572.0
2025-04-29 12:47:00,210.45,210.45,209.96,209.96,8055.0
2025-04-29 12:48:00,210.19,210.19,209.9,210.08,3707.0
2025-04-29 12:49:00,210.2099,210.2099,210.2099,210.2099,1180.0
2025-04-29 12:50:00,210.06,210.06,209.82,209.82,5738.0
2025-04-29 12:51:00,209.8245,209.9996,209.8245,209.9996,1338.0
2025-04-29 12:52:00,209.9786,210.0,209.9786,210.0,1519.0
2025-04-29 12:53:00,210.05,210.06,210.05,210.06,888.0
2025-04-29 12:54:00,210.2,210.2,210.2,210.2,569.0
2025-04-29 12:55:00,210.1,210.1,210.1,210.1,470.0
2025-04-29 12:56:00,210.02,210.02,209.9,209.9,2862.0
2025-04-29 12:57:00,209.9,210.0,209.8,209.8,3572.0
2025-04-29 12:58:00,209.82,209.82,209.7,209.7,4098.0
2025-04-29 12:59:00,209.71,209.9498,209.57,209.57,7747.0
2025-04-29 13:00:00,209.5,209.7,209.5,209.57,4751.0
2025-04-29 13:01:00,209.51,209.55,209.3,209.3998,7551.0
2025-04-29 13:02:00,209.3999,209.3999,209.35,209.35,1959.0
2025-04-29 13:03:00,209.36,209.36,209.01,209.0172,8115.0
2025-04-29 13:04:00,209.01,209.33,208.76,208.8,8095.0
2025-04-29 13:05:00,208.99,209.18,208.96,209.18,2654.0
2025-04-29 13:06:00,209.1,209.1,208.99,209.0,2491.0
2025-04-29 13:07:00,209.21,209.21,209.2,209.2,1378.0
2025-04-29 13:08:00,209.45,209.6,209.35,209.35,1630.0
2025-04-29 13:09:00,209.28,209.3,209.28,209.28,870.0
2025-04-29 13:10:00,209.28,209.28,209.0,209.0,3437.0
2025-04-29 13:11:00,208.9042,209.05,208.9042,209.05,3844.0
2025-04-29 13:12:00,209.1,209.17,209.0,209.17,1720.0
2025-04-29 13:13:00,209.22,209.22,209.22,209.22,597.0
2025-04-29 13:14:00,209.277,209.45,209.22,209.45,1733.0
2025-04-29 13:15:00,209.38,209.48,209.25,209.48,1717.0
2025-04-29 13:16:00,209.25,209.25,209.11,209.11,2002.0
